--------- beginning of main
05-18 06:15:48.397   538   538 W Binder:538_B: type=1400 audit(0.0:119): avc: denied { getopt } for scontext=u:r:system_server:s0 tcontext=u:r:shell:s0 tclass=unix_stream_socket permissive=0
05-18 06:15:48.437   538   538 W Binder:538_B: type=1400 audit(0.0:120): avc: denied { getopt } for scontext=u:r:system_server:s0 tcontext=u:r:shell:s0 tclass=unix_stream_socket permissive=0
05-18 06:15:48.482   538   593 I PackageManager: Integrity check passed for file:///data/app/vmdl1626053234.tmp
05-18 06:15:48.518  1263  6559 I MediaProvider: Invalidating LocalCallingIdentity cache for package com.speedsoftware.explorer. Reason: op android:read_external_storage
05-18 06:15:48.518  1263  6559 I MediaProvider: Invalidating LocalCallingIdentity cache for package com.speedsoftware.explorer. Reason: op android:read_external_storage
05-18 06:15:48.519  1263  6559 I MediaProvider: Invalidating LocalCallingIdentity cache for package com.speedsoftware.explorer. Reason: op android:read_external_storage
05-18 06:15:48.525   538   593 I PackageDexOptimizer: Running dexopt (dexoptNeeded=1) on: /data/app/~~R1afg-1VIZ8-weJOHydv1g==/com.speedsoftware.explorer-JeMiA_YRmFPk19c5LhKlKA==/base.apk pkg=com.speedsoftware.explorer isa=x86_64 dexoptFlags=boot_complete,profile_guided,public,enable_hidden_api_checks targetFilter=speed-profile oatDir=/data/app/~~R1afg-1VIZ8-weJOHydv1g==/com.speedsoftware.explorer-JeMiA_YRmFPk19c5LhKlKA==/oat classLoaderContext=PCL[]{}
05-18 06:15:48.559 10314 10314 W dex2oat64: Unexpected CPU variant for X86 using defaults: x86_64
05-18 06:15:48.559 10314 10314 W dex2oat64: Mismatch between dex2oat instruction set features to use (ISA: X86_64 Feature string: -ssse3,-sse4.1,-sse4.2,-avx,-avx2,-popcnt) and those from CPP defines (ISA: X86_64 Feature string: ssse3,sse4.1,sse4.2,-avx,-avx2,popcnt) for the command line:
05-18 06:15:48.559 10314 10314 W dex2oat64: /apex/com.android.art/bin/dex2oat64 --zip-fd=7 --zip-location=base.apk --oat-fd=8 --oat-location=/data/app/~~R1afg-1VIZ8-weJOHydv1g==/com.speedsoftware.explorer-JeMiA_YRmFPk19c5LhKlKA==/oat/x86_64/base.odex --input-vdex-fd=-1 --output-vdex-fd=9 --swap-fd=10 --classpath-dir=/data/app/~~R1afg-1VIZ8-weJOHydv1g==/com.speedsoftware.explorer-JeMiA_YRmFPk19c5LhKlKA== --class-loader-context=PCL[]{} --compact-dex-level=none --instruction-set=x86_64 --instruction-set-features=default --instruction-set-variant=x86_64 --compiler-filter=speed-profile --compilation-reason=install --max-image-block-size=524288 --resolve-startup-const-strings=true --generate-mini-debug-info --runtime-arg -Xtarget-sdk-version:31 --runtime-arg -Xhidden-api-policy:enabled --runtime-arg -Xms64m --runtime-arg -Xmx512m
05-18 06:15:48.559 10314 10314 I dex2oat64: /apex/com.android.art/bin/dex2oat64 --input-vdex-fd=-1 --output-vdex-fd=9 --classpath-dir=/data/app/~~R1afg-1VIZ8-weJOHydv1g==/com.speedsoftware.explorer-JeMiA_YRmFPk19c5LhKlKA== --class-loader-context=PCL[]{} --compact-dex-level=none --compiler-filter=speed-profile --compilation-reason=install --max-image-block-size=524288 --resolve-startup-const-strings=true --generate-mini-debug-info
05-18 06:15:48.749  1815  2259 I Finsky  : [65] ndj.run(720): AIM: AppInfoManager-Perf > Destroying AppInfoManager ...
05-18 06:15:48.926  4475  4540 I Dialer  : OmtpVvmCarrierCfgHlpr - OmtpEvent:CONFIG_STATUS_SMS_TIME_OUT
05-18 06:15:48.926  4475  4475 I Dialer  : RetryPolicy - discarding deferred status: configuration_state=4
05-18 06:15:48.927  4475  4475 I Dialer  : VvmTaskExecutor - no more tasks, stopping service if no task are added in 5000 millis
05-18 06:15:48.929  4475  4475 I Dialer  : VvmTaskReceiver - task received
05-18 06:15:48.929  4475  4475 I Dialer  : VvmTaskReceiver - TaskExecutor already running
05-18 06:15:48.929  4475  4475 I Dialer  : Task.createTask - create task:com.android.voicemail.impl.ActivationTask
05-18 06:15:48.930  4475  4475 I Dialer  : RetryPolicy - retry #4 for com.android.voicemail.impl.ActivationTask@f09706e queued, executing in 5000
05-18 06:15:48.930  4475  4475 I Dialer  : VvmTaskExecutor - com.android.voicemail.impl.ActivationTask@f09706e added
05-18 06:15:48.930  4475  4475 I Dialer  : VvmTaskExecutor - minimal wait time:4999
05-18 06:15:48.930  4475  4475 I Dialer  : VvmTaskExecutor - sleep for 4999 millis
05-18 06:15:49.263 10314 10314 I dex2oat64: dex2oat took 707.227ms (1.860s cpu) (threads: 4) arena alloc=0B (0B) java alloc=8189KB (8386496B) native alloc=2478KB (2537648B) free=1066KB (1091824B)
05-18 06:15:49.283   432   441 E installd: Couldn't opendir /data/app/vmdl1626053234.tmp: No such file or directory
05-18 06:15:49.283   432   441 E installd: Failed to delete /data/app/vmdl1626053234.tmp: No such file or directory
05-18 06:15:49.277   538   538 W Binder:538_B: type=1400 audit(0.0:121): avc: denied { getopt } for scontext=u:r:system_server:s0 tcontext=u:r:shell:s0 tclass=unix_stream_socket permissive=0
